rank,infinitive_hebrew,transcription_ru,binyan,difficulty,audio_url,audio_file,audio_provider,audio_voice,audio_rate,audio_volume,audio_text,generation_status,file_size,error
13,לשתות,лишт о т,пить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/013.mp3,public/audio/verbs/013.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשתות,generated,11664,
14,לקרוא,ликр о,читать; звать,pealim_live_title_verified,/audio/verbs/014.mp3,public/audio/verbs/014.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקרוא,generated,10656,
15,ללמוד,лильм о д,"изучать, учить",pealim_live_title_verified,/audio/verbs/015.mp3,public/audio/verbs/015.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,ללמוד,generated,11232,
16,להבין,леhавин,понимать,pealim_live_title_verified,/audio/verbs/016.mp3,public/audio/verbs/016.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להבין,generated,11808,
17,לאהוב,леэhов,любить,pealim_live_title_verified,/audio/verbs/017.mp3,public/audio/verbs/017.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לאהוב,generated,11520,
18,לעבוד,лаавод,"работать, трудиться; функционировать",pealim_live_title_verified,/audio/verbs/018.mp3,public/audio/verbs/018.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעבוד,generated,11520,
19,לחשוב,лахшов,думать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/019.mp3,public/audio/verbs/019.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחשוב,generated,11376,
20,לשאול,лишоль,спрашивать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/020.mp3,public/audio/verbs/020.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשאול,generated,11232,
21,לענות,лаанот,отвечать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/021.mp3,public/audio/verbs/021.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לענות,generated,11952,
22,לשבת,лашевет,сидеть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/022.mp3,public/audio/verbs/022.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשבת,generated,11664,
23,לשים,ласим,"класть, ставить",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/023.mp3,public/audio/verbs/023.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשים,generated,11088,
24,לצאת,лацет,выходить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/024.mp3,public/audio/verbs/024.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצאת,generated,11232,
25,להיכנס,леhиканес,входить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/025.mp3,public/audio/verbs/025.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להיכנס,generated,12816,
26,לחזור,лахзор,возвращаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/026.mp3,public/audio/verbs/026.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחזור,generated,11664,
27,לעבור,лаавор,"проходить, переходить",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/027.mp3,public/audio/verbs/027.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעבור,generated,11664,
28,לחיות,лихьёт,жить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/028.mp3,public/audio/verbs/028.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחיות,generated,11808,
29,לגור,лагур,"жить, проживать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/029.mp3,public/audio/verbs/029.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לגור,generated,11088,
30,לעמוד,лаамод,стоять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/030.mp3,public/audio/verbs/030.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעמוד,generated,11376,
31,לפתוח,лифтóах,открывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/031.mp3,public/audio/verbs/031.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפתוח,generated,12240,
32,לסגור,лисгор,закрывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/032.mp3,public/audio/verbs/032.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לסגור,generated,11376,
33,לחפש,лехапес,искать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/033.mp3,public/audio/verbs/033.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחפש,generated,12096,
34,למצוא,лимцо,находить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/034.mp3,public/audio/verbs/034.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,למצוא,generated,11088,
35,להרגיש,леhаргиш,чувствовать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/035.mp3,public/audio/verbs/035.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להרגיש,generated,12816,
36,להכיר,леhак и р,"знать, быть знакомым",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/036.mp3,public/audio/verbs/036.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להכיר,generated,11664,
37,להתחיל,леhатх и ль,начинать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/037.mp3,public/audio/verbs/037.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתחיל,generated,11664,
38,להמשיך,леhамш и х,продолжать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/038.mp3,public/audio/verbs/038.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להמשיך,generated,12672,
39,להפסיק,леhафс и к,прекращать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/039.mp3,public/audio/verbs/039.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להפסיק,generated,12240,
40,לקנות,ликн о т,покупать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/040.mp3,public/audio/verbs/040.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקנות,generated,11808,
41,לשלם,лешал е м,платить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/041.mp3,public/audio/verbs/041.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשלם,generated,11664,
42,לבשל,леваш е ль,готовить еду,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/042.mp3,public/audio/verbs/042.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבשל,generated,11664,
43,לנקות,ленак о т,"чистить, убирать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/043.mp3,public/audio/verbs/043.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנקות,generated,11664,
44,לתקן,летак е н,"чинить, исправлять",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/044.mp3,public/audio/verbs/044.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לתקן,generated,11664,
45,לסדר,лесад е р,"упорядочивать, устраивать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/045.mp3,public/audio/verbs/045.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לסדר,generated,11520,
46,להתקשר,леhиткаш е р,звонить; связываться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/046.mp3,public/audio/verbs/046.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתקשר,generated,12528,
47,להתכתב,леhиткат е в,переписываться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/047.mp3,public/audio/verbs/047.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתכתב,generated,12384,
48,להתאמן,леhитъам е н,тренироваться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/048.mp3,public/audio/verbs/048.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתאמן,generated,12096,
49,להתעניין,леhитъань е н,интересоваться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/049.mp3,public/audio/verbs/049.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתעניין,generated,12384,
50,להסתדר,леhистад е р,"справляться, устраиваться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/050.mp3,public/audio/verbs/050.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסתדר,generated,12096,
51,להתכונן,леhиткон е н,готовиться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/051.mp3,public/audio/verbs/051.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתכונן,generated,12384,
52,לעלות,лаал о т,подниматься; повышаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/052.mp3,public/audio/verbs/052.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעלות,generated,11376,
53,לרדת,лар е дет,спускаться; снижаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/053.mp3,public/audio/verbs/053.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרדת,generated,12096,
54,לרוץ,лар у ц,бежать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/054.mp3,public/audio/verbs/054.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרוץ,generated,11664,
55,להתקדם,леhиткад е м,продвигаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/055.mp3,public/audio/verbs/055.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתקדם,generated,12384,
56,לקבל,лекаб е ль,"получать, принимать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/056.mp3,public/audio/verbs/056.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקבל,generated,11376,
57,להחליט,леhахл и т,"решать, принимать решение",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/057.mp3,public/audio/verbs/057.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להחליט,generated,12384,
58,להשתמש,леhиштам е ш,использовать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/058.mp3,public/audio/verbs/058.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להשתמש,generated,12816,
59,לנסוע,линс о а,"ехать, путешествовать транспортом",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/059.mp3,public/audio/verbs/059.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנסוע,generated,11232,
60,להסביר,леhасб и р,объяснять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/060.mp3,public/audio/verbs/060.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסביר,generated,11952,
61,להראות,леhаръ о т,показывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/061.mp3,public/audio/verbs/061.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להראות,generated,11808,
62,לישון,лишон,спать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/062.mp3,public/audio/verbs/062.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לישון,generated,11088,
63,להוציא,леhоц и,"выносить, выводить, выпускать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/063.mp3,public/audio/verbs/063.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להוציא,generated,11088,
64,לנסות,ленас о т,"пытаться, пробовать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/064.mp3,public/audio/verbs/064.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנסות,generated,11808,
65,להביא,леhав и,приносить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/065.mp3,public/audio/verbs/065.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להביא,generated,11088,
66,לשלוח,лишл о ах,"отправлять, посылать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/066.mp3,public/audio/verbs/066.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשלוח,generated,12240,
67,לבקש,левак е ш,просить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/067.mp3,public/audio/verbs/067.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבקש,generated,12240,
68,להזמין,леhазм и н,приглашать; заказывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/068.mp3,public/audio/verbs/068.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להזמין,generated,12096,
69,לשחק,лесах е к,играть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/069.mp3,public/audio/verbs/069.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשחק,generated,12096,
70,לפגוש,лифг о ш,встречать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/070.mp3,public/audio/verbs/070.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפגוש,generated,12096,
71,לחכות,лехак о т,ждать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/071.mp3,public/audio/verbs/071.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחכות,generated,11808,
72,לזכור,лизк о р,помнить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/072.mp3,public/audio/verbs/072.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לזכור,generated,11664,
73,לשכוח,лишк о ах,забывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/073.mp3,public/audio/verbs/073.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשכוח,generated,12240,
74,לעזור,лааз о р,помогать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/074.mp3,public/audio/verbs/074.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעזור,generated,11808,
75,לשמור,лишм о р,"сохранять, беречь, охранять",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/075.mp3,public/audio/verbs/075.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשמור,generated,11088,
76,להשאיר,леhашъ и р,оставлять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/076.mp3,public/audio/verbs/076.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להשאיר,generated,12096,
77,להישאר,леhиша э р,оставаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/077.mp3,public/audio/verbs/077.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להישאר,generated,11952,
78,להקשיב,леhакш и в,"слушать, прислушиваться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/078.mp3,public/audio/verbs/078.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להקשיב,generated,12096,
79,לספר,лесап е р,рассказывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/079.mp3,public/audio/verbs/079.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לספר,generated,11664,
80,לסיים,лесай е м,заканчивать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/080.mp3,public/audio/verbs/080.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לסיים,generated,11808,
81,לבחור,ливх о р,выбирать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/081.mp3,public/audio/verbs/081.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבחור,generated,11664,
82,להסכים,леhаск и м,соглашаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/082.mp3,public/audio/verbs/082.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסכים,generated,12096,
83,לפתור,лифт о р,решать задачу,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/083.mp3,public/audio/verbs/083.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפתור,generated,11376,
84,להספיק,леhасп и к,успевать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/084.mp3,public/audio/verbs/084.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להספיק,generated,12096,
85,להזיז,леhаз и з,"двигать, перемещать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/085.mp3,public/audio/verbs/085.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להזיז,generated,12096,
86,להחליף,леhахал и ф,"заменять, менять",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/086.mp3,public/audio/verbs/086.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להחליף,generated,12672,
87,לקום,лак у м,вставать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/087.mp3,public/audio/verbs/087.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקום,generated,11232,
88,ליפול,лип о ль,падать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/088.mp3,public/audio/verbs/088.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,ליפול,generated,10800,
89,להרים,леhар и м,поднимать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/089.mp3,public/audio/verbs/089.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להרים,generated,11664,
90,להוריד,леhор и д,"опускать, снижать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/090.mp3,public/audio/verbs/090.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להוריד,generated,11664,
91,ללבוש,лильб о ш,"надевать, носить",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/091.mp3,public/audio/verbs/091.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,ללבוש,generated,11808,
92,להתלבש,леhитлаб е ш,одеваться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/092.mp3,public/audio/verbs/092.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתלבש,generated,12672,
93,לגעת,лаг а ат,касаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/093.mp3,public/audio/verbs/093.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לגעת,generated,11376,
94,להחזיק,леhахз и к,держать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/094.mp3,public/audio/verbs/094.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להחזיק,generated,12672,
95,לזרוק,лизр о к,бросать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/095.mp3,public/audio/verbs/095.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לזרוק,generated,11808,
96,לתפוס,литп о с,"ловить, хватать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/096.mp3,public/audio/verbs/096.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לתפוס,generated,12240,
97,לנצח,ленац е ах,побеждать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/097.mp3,public/audio/verbs/097.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנצח,generated,12816,
98,להפסיד,леhафс и д,проигрывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/098.mp3,public/audio/verbs/098.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להפסיד,generated,11808,
99,לקרות,ликр о т,"происходить, случаться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/099.mp3,public/audio/verbs/099.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקרות,generated,11664,
100,להצליח,леhацл и ах,"преуспевать, удаваться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/100.mp3,public/audio/verbs/100.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להצליח,generated,13392,
101,להיכשל,леhикаш е ль,"терпеть неудачу, проваливаться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/101.mp3,public/audio/verbs/101.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להיכשל,generated,12096,
102,להתרגל,леhитраг е ль,привыкать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/102.mp3,public/audio/verbs/102.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתרגל,generated,12240,
103,להאמין,леhаам и н,верить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/103.mp3,public/audio/verbs/103.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להאמין,generated,12096,
104,לבדוק,ливд о к,проверять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/104.mp3,public/audio/verbs/104.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבדוק,generated,11952,
105,להוסיף,леhос и ф,добавлять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/105.mp3,public/audio/verbs/105.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להוסיף,generated,12384,
106,להדליק,леhадл и к,зажигать; включать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/106.mp3,public/audio/verbs/106.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להדליק,generated,12384,
107,לכבות,лехаб о т,гасить; выключать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/107.mp3,public/audio/verbs/107.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לכבות,generated,11664,
108,להפעיל,леhафъ и ль,включать; приводить в действие,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/108.mp3,public/audio/verbs/108.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להפעיל,generated,11808,
109,לעצור,лаац о р,останавливать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/109.mp3,public/audio/verbs/109.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעצור,generated,11664,
110,להסתכל,леhистак е ль,смотреть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/110.mp3,public/audio/verbs/110.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסתכל,generated,12240,
111,לצפות,лицп о т,смотреть; ожидать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/111.mp3,public/audio/verbs/111.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצפות,generated,11952,
112,לפחד,лефах е д,бояться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/112.mp3,public/audio/verbs/112.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפחד,generated,11664,
113,לכעוס,лихъ о с,злиться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/113.mp3,public/audio/verbs/113.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לכעוס,generated,11952,
114,לבכות,ливк о т,плакать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/114.mp3,public/audio/verbs/114.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבכות,generated,11808,
115,לצחוק,лицх о к,смеяться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/115.mp3,public/audio/verbs/115.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצחוק,generated,12240,
116,לחייך,лехай е х,улыбаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/116.mp3,public/audio/verbs/116.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחייך,generated,12384,
117,לצעוק,лицъ о к,кричать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/117.mp3,public/audio/verbs/117.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצעוק,generated,12240,
118,לשיר,лаш и р,петь,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/118.mp3,public/audio/verbs/118.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשיר,generated,10944,
119,לרקוד,лирк о д,танцевать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/119.mp3,public/audio/verbs/119.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרקוד,generated,11664,
