rank,infinitive_hebrew,transcription_ru,binyan,difficulty,audio_url,audio_file,audio_provider,audio_voice,audio_rate,audio_volume,audio_text
18,לעבוד,лаавод,"работать, трудиться; функционировать",pealim_live_title_verified,/audio/verbs/018.mp3,public/audio/verbs/018.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעבוד
19,לחשוב,лахшов,думать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/019.mp3,public/audio/verbs/019.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחשוב
20,לשאול,лишоль,спрашивать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/020.mp3,public/audio/verbs/020.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשאול
21,לענות,лаанот,отвечать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/021.mp3,public/audio/verbs/021.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לענות
22,לשבת,лашевет,сидеть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/022.mp3,public/audio/verbs/022.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשבת
23,לשים,ласим,"класть, ставить",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/023.mp3,public/audio/verbs/023.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשים
24,לצאת,лацет,выходить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/024.mp3,public/audio/verbs/024.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצאת
25,להיכנס,леhиканес,входить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/025.mp3,public/audio/verbs/025.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להיכנס
26,לחזור,лахзор,возвращаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/026.mp3,public/audio/verbs/026.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחזור
27,לעבור,лаавор,"проходить, переходить",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/027.mp3,public/audio/verbs/027.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעבור
28,לחיות,лихьёт,жить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/028.mp3,public/audio/verbs/028.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחיות
29,לגור,лагур,"жить, проживать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/029.mp3,public/audio/verbs/029.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לגור
30,לעמוד,лаамод,стоять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/030.mp3,public/audio/verbs/030.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעמוד
31,לפתוח,лифтóах,открывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/031.mp3,public/audio/verbs/031.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפתוח
32,לסגור,лисгор,закрывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/032.mp3,public/audio/verbs/032.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לסגור
33,לחפש,лехапес,искать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/033.mp3,public/audio/verbs/033.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחפש
34,למצוא,лимцо,находить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/034.mp3,public/audio/verbs/034.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,למצוא
35,להרגיש,леhаргиш,чувствовать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/035.mp3,public/audio/verbs/035.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להרגיש
36,להכיר,леhак и р,"знать, быть знакомым",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/036.mp3,public/audio/verbs/036.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להכיר
37,להתחיל,леhатх и ль,начинать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/037.mp3,public/audio/verbs/037.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתחיל
38,להמשיך,леhамш и х,продолжать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/038.mp3,public/audio/verbs/038.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להמשיך
39,להפסיק,леhафс и к,прекращать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/039.mp3,public/audio/verbs/039.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להפסיק
40,לקנות,ликн о т,покупать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/040.mp3,public/audio/verbs/040.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקנות
41,לשלם,лешал е м,платить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/041.mp3,public/audio/verbs/041.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשלם
42,לבשל,леваш е ль,готовить еду,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/042.mp3,public/audio/verbs/042.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבשל
43,לנקות,ленак о т,"чистить, убирать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/043.mp3,public/audio/verbs/043.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנקות
44,לתקן,летак е н,"чинить, исправлять",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/044.mp3,public/audio/verbs/044.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לתקן
45,לסדר,лесад е р,"упорядочивать, устраивать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/045.mp3,public/audio/verbs/045.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לסדר
46,להתקשר,леhиткаш е р,звонить; связываться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/046.mp3,public/audio/verbs/046.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתקשר
47,להתכתב,леhиткат е в,переписываться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/047.mp3,public/audio/verbs/047.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתכתב
48,להתאמן,леhитъам е н,тренироваться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/048.mp3,public/audio/verbs/048.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתאמן
49,להתעניין,леhитъань е н,интересоваться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/049.mp3,public/audio/verbs/049.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתעניין
50,להסתדר,леhистад е р,"справляться, устраиваться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/050.mp3,public/audio/verbs/050.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסתדר
51,להתכונן,леhиткон е н,готовиться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/051.mp3,public/audio/verbs/051.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתכונן
52,לעלות,лаал о т,подниматься; повышаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/052.mp3,public/audio/verbs/052.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעלות
53,לרדת,лар е дет,спускаться; снижаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/053.mp3,public/audio/verbs/053.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרדת
54,לרוץ,лар у ц,бежать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/054.mp3,public/audio/verbs/054.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרוץ
55,להתקדם,леhиткад е м,продвигаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/055.mp3,public/audio/verbs/055.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתקדם
56,לקבל,лекаб е ль,"получать, принимать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/056.mp3,public/audio/verbs/056.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקבל
57,להחליט,леhахл и т,"решать, принимать решение",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/057.mp3,public/audio/verbs/057.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להחליט
58,להשתמש,леhиштам е ш,использовать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/058.mp3,public/audio/verbs/058.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להשתמש
59,לנסוע,линс о а,"ехать, путешествовать транспортом",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/059.mp3,public/audio/verbs/059.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנסוע
60,להסביר,леhасб и р,объяснять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/060.mp3,public/audio/verbs/060.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסביר
61,להראות,леhаръ о т,показывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/061.mp3,public/audio/verbs/061.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להראות
62,לישון,лишон,спать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/062.mp3,public/audio/verbs/062.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לישון
63,להוציא,леhоц и,"выносить, выводить, выпускать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/063.mp3,public/audio/verbs/063.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להוציא
64,לנסות,ленас о т,"пытаться, пробовать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/064.mp3,public/audio/verbs/064.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנסות
65,להביא,леhав и,приносить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/065.mp3,public/audio/verbs/065.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להביא
66,לשלוח,лишл о ах,"отправлять, посылать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/066.mp3,public/audio/verbs/066.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשלוח
67,לבקש,левак е ш,просить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/067.mp3,public/audio/verbs/067.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבקש
68,להזמין,леhазм и н,приглашать; заказывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/068.mp3,public/audio/verbs/068.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להזמין
69,לשחק,лесах е к,играть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/069.mp3,public/audio/verbs/069.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשחק
70,לפגוש,лифг о ш,встречать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/070.mp3,public/audio/verbs/070.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפגוש
71,לחכות,лехак о т,ждать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/071.mp3,public/audio/verbs/071.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחכות
72,לזכור,лизк о р,помнить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/072.mp3,public/audio/verbs/072.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לזכור
73,לשכוח,лишк о ах,забывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/073.mp3,public/audio/verbs/073.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשכוח
74,לעזור,лааз о р,помогать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/074.mp3,public/audio/verbs/074.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעזור
75,לשמור,лишм о р,"сохранять, беречь, охранять",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/075.mp3,public/audio/verbs/075.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשמור
76,להשאיר,леhашъ и р,оставлять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/076.mp3,public/audio/verbs/076.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להשאיר
77,להישאר,леhиша э р,оставаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/077.mp3,public/audio/verbs/077.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להישאר
78,להקשיב,леhакш и в,"слушать, прислушиваться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/078.mp3,public/audio/verbs/078.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להקשיב
79,לספר,лесап е р,рассказывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/079.mp3,public/audio/verbs/079.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לספר
80,לסיים,лесай е м,заканчивать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/080.mp3,public/audio/verbs/080.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לסיים
81,לבחור,ливх о р,выбирать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/081.mp3,public/audio/verbs/081.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבחור
82,להסכים,леhаск и м,соглашаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/082.mp3,public/audio/verbs/082.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסכים
83,לפתור,лифт о р,решать задачу,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/083.mp3,public/audio/verbs/083.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפתור
84,להספיק,леhасп и к,успевать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/084.mp3,public/audio/verbs/084.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להספיק
85,להזיז,леhаз и з,"двигать, перемещать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/085.mp3,public/audio/verbs/085.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להזיז
86,להחליף,леhахал и ф,"заменять, менять",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/086.mp3,public/audio/verbs/086.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להחליף
87,לקום,лак у м,вставать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/087.mp3,public/audio/verbs/087.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקום
88,ליפול,лип о ль,падать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/088.mp3,public/audio/verbs/088.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,ליפול
89,להרים,леhар и м,поднимать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/089.mp3,public/audio/verbs/089.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להרים
90,להוריד,леhор и д,"опускать, снижать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/090.mp3,public/audio/verbs/090.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להוריד
91,ללבוש,лильб о ш,"надевать, носить",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/091.mp3,public/audio/verbs/091.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,ללבוש
92,להתלבש,леhитлаб е ш,одеваться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/092.mp3,public/audio/verbs/092.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתלבש
93,לגעת,лаг а ат,касаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/093.mp3,public/audio/verbs/093.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לגעת
94,להחזיק,леhахз и к,держать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/094.mp3,public/audio/verbs/094.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להחזיק
95,לזרוק,лизр о к,бросать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/095.mp3,public/audio/verbs/095.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לזרוק
96,לתפוס,литп о с,"ловить, хватать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/096.mp3,public/audio/verbs/096.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לתפוס
97,לנצח,ленац е ах,побеждать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/097.mp3,public/audio/verbs/097.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנצח
98,להפסיד,леhафс и д,проигрывать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/098.mp3,public/audio/verbs/098.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להפסיד
99,לקרות,ликр о т,"происходить, случаться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/099.mp3,public/audio/verbs/099.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקרות
100,להצליח,леhацл и ах,"преуспевать, удаваться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/100.mp3,public/audio/verbs/100.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להצליח
101,להיכשל,леhикаш е ль,"терпеть неудачу, проваливаться",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/101.mp3,public/audio/verbs/101.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להיכשל
102,להתרגל,леhитраг е ль,привыкать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/102.mp3,public/audio/verbs/102.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתרגל
103,להאמין,леhаам и н,верить,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/103.mp3,public/audio/verbs/103.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להאמין
104,לבדוק,ливд о к,проверять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/104.mp3,public/audio/verbs/104.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבדוק
105,להוסיף,леhос и ф,добавлять,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/105.mp3,public/audio/verbs/105.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להוסיף
106,להדליק,леhадл и к,зажигать; включать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/106.mp3,public/audio/verbs/106.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להדליק
107,לכבות,лехаб о т,гасить; выключать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/107.mp3,public/audio/verbs/107.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לכבות
108,להפעיל,леhафъ и ль,включать; приводить в действие,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/108.mp3,public/audio/verbs/108.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להפעיל
109,לעצור,лаац о р,останавливать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/109.mp3,public/audio/verbs/109.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעצור
110,להסתכל,леhистак е ль,смотреть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/110.mp3,public/audio/verbs/110.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להסתכל
111,לצפות,лицп о т,смотреть; ожидать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/111.mp3,public/audio/verbs/111.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצפות
112,לפחד,лефах е д,бояться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/112.mp3,public/audio/verbs/112.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לפחד
113,לכעוס,лихъ о с,злиться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/113.mp3,public/audio/verbs/113.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לכעוס
114,לבכות,ливк о т,плакать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/114.mp3,public/audio/verbs/114.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבכות
115,לצחוק,лицх о к,смеяться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/115.mp3,public/audio/verbs/115.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצחוק
116,לחייך,лехай е х,улыбаться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/116.mp3,public/audio/verbs/116.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לחייך
117,לצעוק,лицъ о к,кричать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/117.mp3,public/audio/verbs/117.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצעוק
118,לשיר,лаш и р,петь,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/118.mp3,public/audio/verbs/118.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשיר
119,לרקוד,лирк о д,танцевать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/119.mp3,public/audio/verbs/119.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרקוד
120,לנגן,ленаг е н,играть на музыкальном инструменте,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/120.mp3,public/audio/verbs/120.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לנגן
121,לצייר,лецай е р,рисовать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/121.mp3,public/audio/verbs/121.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצייר
122,לצלם,лецал е м,фотографировать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/122.mp3,public/audio/verbs/122.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצלם
123,להתקלח,леhиткал е ах,принимать душ,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/123.mp3,public/audio/verbs/123.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתקלח
124,להתגלח,леhитгал е ах,бриться,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/124.mp3,public/audio/verbs/124.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,להתגלח
125,לצחצח,лецахц е ах,чистить зубы,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/125.mp3,public/audio/verbs/125.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לצחצח
126,לשטוף,лишт о ф,"мыть, промывать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/126.mp3,public/audio/verbs/126.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשטוף
127,לרחוץ,лирх о ц,"мыть, купать",added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/127.mp3,public/audio/verbs/127.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרחוץ
